Person.id|Person.id|creationDate
19791209299984|19791209300020|2011-08-18T17:54:25.052+0000
19791209299984|35184372088899|2012-09-12T08:38:37.636+0000
15393162788906|17592186044425|2011-06-26T03:23:19.086+0000
15393162788906|17592186044504|2011-05-28T20:05:09.502+0000
15393162788906|19791209299986|2011-09-18T08:15:42.067+0000
15393162788906|19791209300004|2011-09-16T18:11:21.973+0000
15393162788906|21990232555524|2011-10-26T07:24:36.024+0000
15393162788906|21990232555571|2011-10-27T03:50:09.715+0000
15393162788906|21990232555586|2011-09-24T07:54:33.735+0000
15393162788906|21990232555611|2011-12-01T08:28:16.936+0000
15393162788906|21990232555617|2011-11-09T05:34:14.380+0000
15393162788906|24189255811079|2012-01-06T10:10:20.440+0000
15393162788906|24189255811164|2012-01-14T15:15:16.499+0000
15393162788906|26388279066636|2012-03-02T04:41:54.266+0000
15393162788906|26388279066717|2012-02-05T00:29:23.537+0000
15393162788906|30786325577784|2012-06-14T17:12:20.886+0000
15393162788906|32985348833314|2012-08-18T07:45:45.600+0000
17592186044461|21990232555524|2011-10-21T22:56:41.343+0000
17592186044461|26388279066664|2012-01-23T19:11:01.814+0000
17592186044461|32985348833314|2012-08-18T22:55:19.813+0000
15393162788893|17592186044425|2011-06-18T06:48:38.222+0000
15393162788893|17592186044504|2011-05-11T12:08:58.885+0000
15393162788893|19791209300020|2011-08-19T11:00:03.842+0000
15393162788893|21990232555586|2011-09-27T12:30:39.977+0000
21990232555617|30786325577752|2012-06-05T17:43:55.560+0000
26388279066664|30786325577752|2012-06-08T13:06:39.843+0000
26388279066664|32985348833314|2012-08-30T10:32:22.210+0000
19791209300020|21990232555524|2011-10-24T07:51:40.031+0000
19791209300020|30786325577752|2012-06-08T12:23:40.069+0000
4398046511163|6597069766733|2010-08-21T11:36:36.516+0000
4398046511163|15393162788922|2011-05-08T13:22:06.906+0000
4398046511163|17592186044459|2011-06-10T13:14:47.419+0000
4398046511163|21990232555524|2011-10-23T02:53:56.268+0000
4398046511163|24189255811103|2012-01-09T04:58:49.388+0000
4398046511163|28587302322250|2012-03-29T16:41:43.319+0000
4398046511163|30786325577752|2012-06-24T12:27:41.265+0000
4398046511163|32985348833378|2012-08-29T03:18:00.831+0000
4398046511117|26388279066664|2012-01-18T17:58:18.999+0000
19791209299986|19791209300020|2011-09-15T20:26:14.966+0000
19791209299986|21990232555524|2011-10-15T06:45:59.987+0000
13194139533331|15393162788906|2011-04-26T00:23:01.693+0000
17592186044459|19791209300004|2011-09-05T21:53:36.985+0000
17592186044459|21990232555524|2011-10-22T19:11:13.963+0000
17592186044459|21990232555586|2011-09-25T17:44:58.170+0000
17592186044459|21990232555611|2011-11-04T14:06:08.104+0000
13194139533344|15393162788906|2011-04-28T21:29:49.918+0000
13194139533344|17592186044425|2011-06-30T22:13:47.586+0000
13194139533344|26388279066664|2012-01-14T19:17:55.068+0000
13194139533344|32985348833314|2012-08-24T07:41:48.128+0000
19791209299968|21990232555611|2011-11-25T10:39:00.728+0000
4398046511145|4398046511163|2010-07-20T02:31:23.344+0000
4398046511145|6597069766733|2010-08-27T19:39:24.704+0000
4398046511145|17592186044425|2011-06-11T19:54:46.342+0000
4398046511145|17592186044459|2011-06-03T19:16:22.081+0000
4398046511145|21990232555524|2011-10-22T13:50:43.390+0000
4398046511145|21990232555586|2011-09-23T13:27:11.011+0000
4398046511145|21990232555611|2011-11-14T07:59:01.280+0000
4398046511145|24189255811079|2012-01-18T10:50:47.837+0000
4398046511145|30786325577752|2012-06-19T22:47:22.717+0000
15393162788911|17592186044425|2011-06-19T18:57:40.031+0000
4398046511185|6597069766720|2010-08-23T04:58:07.628+0000
4398046511185|6597069766733|2010-08-26T14:21:20.832+0000
4398046511185|10995116277846|2011-01-03T08:16:14.924+0000
4398046511185|13194139533344|2011-03-11T21:53:30.689+0000
4398046511185|15393162788906|2011-05-10T14:38:56.495+0000
4398046511185|21990232555524|2011-11-04T11:29:12.109+0000
4398046511185|30786325577752|2012-06-05T20:46:23.933+0000
4398046511185|32985348833314|2012-08-16T11:30:14.970+0000
21990232555524|21990232555611|2011-12-04T07:16:51.906+0000
21990232555524|24189255811103|2011-12-22T17:39:44.611+0000
21990232555524|24189255811164|2011-12-26T12:56:15.255+0000
21990232555524|26388279066664|2012-02-06T12:01:08.727+0000
21990232555524|30786325577784|2012-05-24T02:16:12.649+0000
21990232555524|30786325577812|2012-07-02T05:03:32.978+0000
6597069766720|10995116277846|2011-01-03T10:59:22.846+0000
6597069766720|13194139533344|2011-03-14T09:56:16.475+0000
6597069766720|24189255811164|2012-01-04T04:13:45.841+0000
6597069766720|26388279066717|2012-02-01T20:02:41.752+0000
6597069766720|30786325577752|2012-06-04T13:47:56.984+0000
6597069766720|32985348833314|2012-08-06T10:10:13.299+0000
4398046511180|6597069766678|2010-08-14T09:00:58.197+0000
4398046511180|6597069766719|2010-07-18T04:10:56.510+0000
4398046511180|6597069766733|2010-08-02T19:46:57.208+0000
4398046511180|15393162788893|2011-04-01T00:12:50.348+0000
4398046511180|15393162788906|2011-04-18T02:24:51.244+0000
4398046511180|19791209300020|2011-08-11T07:52:19.531+0000
4398046511180|24189255811086|2012-01-14T21:26:31.032+0000
4398046511180|26388279066664|2012-01-25T01:22:59.860+0000
96|10995116277765|2011-01-08T22:03:45.750+0000
96|15393162788893|2011-04-10T14:07:46.718+0000
4398046511177|6597069766678|2010-09-02T21:03:46.821+0000
4398046511177|6597069766720|2010-08-29T01:36:28.092+0000
4398046511177|24189255811086|2012-01-07T22:01:58.605+0000
4398046511177|24189255811164|2012-01-22T10:17:10.573+0000
4398046511177|26388279066664|2012-01-25T16:54:24.720+0000
4398046511177|30786325577752|2012-06-15T01:17:14.639+0000
15393162788866|21990232555524|2011-10-22T01:00:24.593+0000
10995116277846|17592186044425|2011-06-27T08:10:58.358+0000
26388279066654|32985348833314|2012-08-22T09:38:26.253+0000
6597069766719|26388279066664|2012-01-22T14:39:15.171+0000
10995116277788|10995116277820|2010-12-31T13:32:08.481+0000
10995116277788|19791209299984|2011-08-13T06:09:59.074+0000
10995116277788|19791209299986|2011-09-18T13:16:35.491+0000
10995116277788|19791209300020|2011-08-27T01:13:06.563+0000
10995116277788|21990232555524|2011-10-16T05:46:27.454+0000
10995116277788|24189255811099|2012-01-12T21:26:29.989+0000
26388279066662|32985348833314|2012-08-31T17:08:25.137+0000
