id|creationDate|locationIP|browserUsed|content|length
893353198043|2012-04-21T00:26:25.233+0000|31.170.121.115|Internet Explorer|About Kevin Rudd, ard announcedAbout Mohandas Karamchand Gandhi,  him as a|74
893353198044|2012-04-21T04:33:41.015+0000|196.29.42.107|Internet Explorer|good|4
893353198045|2012-04-20T17:30:29.754+0000|31.170.121.115|Internet Explorer|great|5
893353198046|2012-04-20T16:49:34.670+0000|41.74.150.41|Firefox|no way!|7
893353198047|2012-04-20T18:29:37.591+0000|41.74.150.41|Firefox|cool|4
893353198048|2012-04-20T15:15:54.223+0000|41.74.150.41|Firefox|About Kevin Rudd, r Foreign Affairs About Ferdinand Marcos, and other countrieAbout Cam|87
893353198049|2012-04-21T00:32:29.708+0000|196.29.42.107|Firefox|great|5
549755815266|2011-06-22T12:28:25.351+0000|117.53.155.216|Chrome|About Celia Cruz, ce said Cruz is indisputabAbout Haile Selassie I, tive secu|77
549755815267|2011-06-22T13:34:30.968+0000|77.72.71.129|Firefox|thx|3
549755815268|2011-06-22T14:22:10.951+0000|117.53.155.216|Chrome|About Celia Cruz, ell as La Guarachera About Livy, ory. Livy and AugustuAbout Geo|81
549755815269|2011-06-22T19:32:37.907+0000|91.191.192.127|Firefox|thanks|6
549755815270|2011-06-23T07:47:31.261+0000|91.191.192.127|Firefox|thx|3
549755815271|2011-06-23T05:04:29.478+0000|117.53.155.216|Chrome|About James Joyce, verse does not extend beyond Dublin, and is poAbout Egypt, mmand. In ad|90
549755815272|2011-06-22T12:36:21.446+0000|41.76.141.129|Firefox|right|5
549755815273|2011-06-23T01:58:24.418+0000|91.191.192.127|Firefox|thanks|6
893353198955|2012-03-23T04:10:03.908+0000|81.93.203.7|Internet Explorer|right|5
893353198956|2012-03-23T13:49:53.570+0000|81.93.203.7|Internet Explorer|yes|3
893353198957|2012-03-23T01:51:50.802+0000|196.29.42.107|Firefox|no|2
893353198958|2012-03-22T23:44:46.404+0000|81.93.203.7|Internet Explorer|About William Shatner, s an exagAbout Otto von Bismarck,  vision, About Harold |79
893353198959|2012-03-22T22:55:16.415+0000|117.53.155.216|Chrome|maybe|5
893353198960|2012-03-23T20:26:57.711+0000|91.191.192.127|Firefox|thanks|6
893353198961|2012-03-23T05:03:57.824+0000|196.29.42.107|Firefox|I see|5
893353198962|2012-03-23T21:53:32.446+0000|31.170.121.115|Internet Explorer|ok|2
893353198963|2012-03-23T05:13:14.909+0000|117.53.155.216|Chrome|About Harold Pinter, and married aAbout Thailand,  Head of the About Black and Blue, ust|88
893353198964|2012-03-23T06:04:20.511+0000|31.170.121.115|Internet Explorer|About Henry IV of France, converted to ProtestanAbout Black and Blue, the band's first studiAbout Echoes: The Best of Pink Floyd, the United States throAbout Laos, ganization|174
893353198965|2012-03-23T08:44:32.186+0000|31.170.121.115|Internet Explorer|LOL|3
893353198966|2012-03-23T17:14:35.961+0000|31.170.121.115|Internet Explorer|thx|3
893353198968|2012-03-22T04:27:41.219+0000|196.29.42.107|Firefox|About Ivan Ljubičić, lo and Hamburg. About Livy, l foundation in About John Wayne, n small|90
893353198969|2012-03-22T05:27:41.142+0000|81.93.203.7|Internet Explorer|About Livy, raditional fAbout John A. Macdonald,  agreed to aAbout John Wayne,  los|83
1030792152443|2012-07-14T05:31:07.329+0000|91.191.192.127|Firefox|no way!|7
1030792152444|2012-07-14T00:19:29.440+0000|49.213.50.238|Firefox|no way!|7
1030792152445|2012-07-14T18:10:07.775+0000|204.79.148.85|Chrome|About Ivan Ljubičić, at effect to draw a playerAbout George Frideric Handel|75
1030792152446|2012-07-13T23:22:49.919+0000|46.18.61.189|Opera|ok|2
1030792152447|2012-07-14T18:32:05.579+0000|49.213.50.238|Firefox|About Leonardo da Vinci, e, epitomized the Renaissance humanist idAbout German Ea|81
1030792152448|2012-07-14T21:13:17.571+0000|204.79.148.85|Chrome|fine|4
1030792152449|2012-07-14T18:16:57.852+0000|204.79.148.85|Chrome|maybe|5
1030792152450|2012-07-13T23:40:02.293+0000|31.209.42.207|Internet Explorer|About The Sickness, 0 copies sold in the United States alone About I Should Be So|81
1030792152451|2012-07-14T08:09:09.902+0000|49.213.50.238|Firefox|no|2
1030792152452|2012-07-13T23:54:32.105+0000|49.213.50.238|Firefox|great|5
1030792152453|2012-07-14T18:38:54.729+0000|91.191.192.127|Firefox|About Ivan Ljubičić, ly). On his backhand, he used a slicAbout Ray of Light, d polls, including Rolling Stone magAbout Duchy of Styria,  part o|143
1030792152454|2012-07-14T11:12:39.345+0000|46.18.61.189|Opera|LOL|3
1030792152455|2012-07-14T22:37:11.610+0000|31.170.121.115|Internet Explorer|ok|2
1030792152456|2012-07-15T13:48:05.391+0000|31.209.42.207|Internet Explorer|great|5
1030792152457|2012-07-14T02:53:57.060+0000|46.18.61.189|Opera|great|5
1030792152458|2012-07-14T02:26:35.448+0000|31.170.121.115|Internet Explorer|maybe|5
412316861836|2011-02-15T21:08:51.283+0000|27.122.45.252|Internet Explorer|duh|3
412316861837|2011-02-15T21:08:51.366+0000|27.122.45.252|Internet Explorer|no way!|7
412316861838|2011-02-16T00:25:33.029+0000|27.122.45.252|Internet Explorer|About Bill Gates, ates Foundation. He gradually transferred hiAbout Brian Wilson, ich |86
412316861839|2011-02-16T07:14:36.106+0000|27.122.45.252|Internet Explorer|no way!|7
412316861840|2011-02-16T19:27:08.056+0000|27.122.45.252|Internet Explorer|right|5
412316861841|2011-02-16T16:26:38.858+0000|27.122.45.252|Internet Explorer|good|4
412316861842|2011-02-16T00:35:33.445+0000|27.122.45.252|Internet Explorer|no|2
412316861843|2011-02-16T04:55:51.827+0000|27.122.45.252|Internet Explorer|thanks|6
412316861844|2011-02-15T22:05:55.760+0000|27.122.45.252|Internet Explorer|About Robert Fripp, ppertronics following collaboration with BAbout Norway,  notab|82
412316861845|2011-02-15T21:41:39.833+0000|27.122.45.252|Internet Explorer|thanks|6
412316861846|2011-02-16T00:51:35.341+0000|27.122.45.252|Internet Explorer|yes|3
412316861847|2011-02-16T07:04:51.897+0000|27.122.45.252|Internet Explorer|great|5
412316861848|2011-02-16T16:38:43.728+0000|27.122.45.252|Internet Explorer|thx|3
412316861849|2011-02-16T03:33:48.698+0000|27.122.45.252|Internet Explorer|no way!|7
412316861850|2011-02-15T23:56:58.103+0000|27.122.45.252|Internet Explorer|About Robert Fripp, ly member to have played in all of King Crimson's line-ups. As a studio About Hong Kong, iary functions under the common l|142
412316861851|2011-02-16T02:55:17.943+0000|27.122.45.252|Internet Explorer|thx|3
412316861852|2011-02-16T01:53:03.898+0000|27.122.45.252|Internet Explorer|About Muhammad Ali Jinnah, India Home Rule League. He proposed a About Robe|75
549755815326|2011-05-19T20:59:26.669+0000|31.209.179.5|Firefox|yes|3
549755815327|2011-05-19T14:38:35.907+0000|31.209.179.5|Firefox|About Muammar Gaddafi, chieved the highest living standards inAbout Paraguay|76
549755815328|2011-05-19T04:18:54.974+0000|31.209.179.5|Firefox|About Kingdom of England, to the Anglo-Saxon settlement of Britain and the Heptarchy of petty states that|105
755914245538|2011-12-14T10:37:06.639+0000|91.191.192.127|Firefox|no|2
755914245539|2011-12-14T11:58:42.221+0000|196.29.42.107|Firefox|right|5
755914245540|2011-12-14T03:06:31.604+0000|91.191.192.127|Firefox|yes|3
755914245541|2011-12-14T01:54:15.822+0000|91.191.192.127|Firefox|About Thierry Boutsen, r the Arrows, Benetton, Williams, LigiAbout Ted Ken|74
755914245542|2011-12-14T02:41:16.668+0000|196.29.42.107|Firefox|LOL|3
755914245543|2011-12-14T18:41:34.638+0000|196.29.42.107|Firefox|great|5
755914245544|2011-12-14T02:15:32.122+0000|91.191.192.127|Firefox|yes|3
755914245545|2011-12-14T22:55:37.834+0000|196.29.42.107|Firefox|no way!|7
755914245546|2011-12-14T14:28:45.731+0000|196.29.42.107|Firefox|thanks|6
755914245547|2011-12-14T08:12:45.954+0000|91.191.192.127|Firefox|right|5
755914245548|2011-12-14T01:55:25.849+0000|91.191.192.127|Firefox|About Marvin Gaye, e doo-wop group The Moonglows in the late 1About Ted Kennedy, s, |84
755914246179|2011-12-21T21:10:11.817+0000|196.29.42.107|Firefox|LOL|3
755914246180|2011-12-22T08:47:27.448+0000|27.112.88.106|Internet Explorer|thanks|6
755914246181|2011-12-22T08:47:10.049+0000|203.215.63.48|Firefox|fine|4
755914246182|2011-12-21T18:38:20.211+0000|31.185.10.92|Internet Explorer|About Mahmud of Ghazni,  of the Ghaznavid dynasty who ruled fromAbout Stanley K|79
755914246183|2011-12-21T15:30:41.532+0000|27.116.34.47|Chrome|thanks|6
755914246184|2011-12-21T21:22:53.156+0000|204.79.148.85|Chrome|About Mahmud of Ghazni, though preserving the ideologicAbout Stanley Kubrick, t by natural|90
755914246185|2011-12-22T18:28:43.797+0000|1.2.2.77|Firefox|great|5
755914246186|2011-12-21T21:09:59.779+0000|27.116.33.147|Safari|roflol|6
755914246187|2011-12-22T04:07:22.025+0000|204.79.148.85|Chrome|duh|3
755914246188|2011-12-21T19:05:21.007+0000|196.29.42.107|Firefox|great|5
755914246189|2011-12-21T18:04:35.221+0000|49.33.127.55|Chrome|fine|4
755914246190|2011-12-21T14:55:29.551+0000|196.29.42.107|Firefox|no way!|7
755914246191|2011-12-21T15:19:50.942+0000|196.29.42.107|Firefox|About Mahmud of Ghazni, o carry the title Sultan (authority), sigAbout Two Steps|80
755914246192|2011-12-22T13:20:33.982+0000|49.33.127.55|Chrome|About Mahmud of Ghazni, znavid dynasty who ruled from 997 until his deAbout Colonel Bogey |90
755914246193|2011-12-22T14:50:32.620+0000|27.116.34.47|Chrome|roflol|6
755914246194|2011-12-21T22:15:57.069+0000|196.29.42.107|Firefox|ok|2
755914246195|2011-12-21T20:24:21.062+0000|27.116.34.47|Chrome|About William Shatner, r typically merely speaks the lyrics instead of singing them, often|90
755914246196|2011-12-21T16:06:21.741+0000|203.215.63.48|Firefox|no way!|7
755914246197|2011-12-22T12:32:34.591+0000|204.79.148.85|Chrome|good|4
755914246521|2011-12-12T15:42:24.984+0000|1.4.40.92|Chrome|maybe|5
755914246522|2011-12-11T16:26:49.249+0000|91.223.132.248|Internet Explorer|no|2
755914246523|2011-12-12T01:03:41.143+0000|85.159.30.82|Chrome|About Lady Gaga, igned with Streamline Records by the endAbout Like a Rock, available only as the B-side of the AmerA|117
755914246524|2011-12-11T18:09:57.046+0000|91.223.132.248|Internet Explorer|About Louis B. Mayer, . , he believed in whAbout Robert Mugabe,  movement against|81
755914246525|2011-12-11T16:07:46.339+0000|49.213.50.238|Firefox|About Robert Mugabe, o prominence in the 1960s asAbout Bad to the Bone, Thorogood|81
755914246526|2011-12-12T07:24:50.824+0000|91.223.132.248|Internet Explorer|ok|2
755914246527|2011-12-12T14:48:59.756+0000|49.213.50.238|Internet Explorer|About Life in Cartoon Motion, ed by Greg Wells and Mika, mixed by Greg Wells, with co-production on tAbout Bring On the Dancing Horses,  on t|141
755914246528|2011-12-12T02:29:50.042+0000|49.213.50.238|Firefox|fine|4
755914246529|2011-12-12T03:21:19.204+0000|85.159.30.82|Chrome|yes|3
755914246530|2011-12-11T18:12:10.179+0000|49.213.50.238|Firefox|About Robert Mugabe,  government embarked About Hong Kong, stem. Although it hasA|81
755914246531|2011-12-11T18:40:41.614+0000|85.159.30.82|Chrome|About Nicholas II of Russia,  and, prominently, outsiAbout Robert Mugabe, wean economic situation.About Hong Kong, r, |118
755914246532|2011-12-11T18:24:04.364+0000|91.223.132.248|Internet Explorer|roflol|6
1030792153478|2012-08-01T22:13:51.610+0000|85.159.30.82|Chrome|cool|4
1030792153479|2012-08-02T15:19:26.736+0000|49.213.50.238|Firefox|ok|2
1030792153480|2012-08-02T04:18:39.665+0000|85.159.30.82|Chrome|yes|3
1030792153481|2012-08-01T22:09:54.913+0000|91.223.132.248|Internet Explorer|good|4
1030792153482|2012-08-02T02:33:46.180+0000|1.4.40.92|Chrome|cool|4
1030792153483|2012-08-02T02:41:27.148+0000|1.4.40.92|Chrome|roflol|6
1030792153484|2012-08-02T05:32:42.755+0000|49.213.50.238|Firefox|ok|2
893353200014|2012-04-20T20:34:51.962+0000|91.223.132.248|Internet Explorer|duh|3
893353200015|2012-04-21T16:06:48.220+0000|31.192.109.124|Internet Explorer|thx|3
893353200016|2012-04-20T23:39:26.249+0000|85.159.30.82|Chrome|ok|2
893353200017|2012-04-21T02:26:03.163+0000|91.223.132.248|Internet Explorer|roflol|6
893353200018|2012-04-20T21:39:17.417+0000|1.4.40.92|Chrome|About Maimonides, gypt on 20th Tevet,About Marilyn Monroe, lly recognized a|75
893353200019|2012-04-21T05:19:01.627+0000|91.223.132.248|Internet Explorer|great|5
893353200020|2012-04-21T14:36:22.481+0000|91.223.132.248|Internet Explorer|I see|5
893353200021|2012-04-21T02:15:29.040+0000|85.159.30.82|Chrome|roflol|6
893353200022|2012-04-20T20:23:18.746+0000|31.192.109.124|Internet Explorer|About Maimonides, erstone of JewishAbout Stained Class, eir preceding albAbout E|80
893353200023|2012-04-20T21:05:12.509+0000|168.231.156.162|Internet Explorer|roflol|6
893353200024|2012-04-20T23:25:18.622+0000|85.159.30.82|Chrome|About Frédéric Chopin, sitions and as a pianAbout John Rhys-Davies, haps best kn|80
893353200025|2012-04-20T21:50:28.121+0000|91.223.132.248|Internet Explorer|cool|4
893353200026|2012-04-21T08:37:01.805+0000|31.192.109.124|Internet Explorer|About Frédéric Chopin, 9 years of his life, About John Rhys-Davies,  Tobias in the computAbout Rihanna, n additional four|121
893353200027|2012-04-21T20:51:48.880+0000|1.4.40.92|Chrome|yes|3
893353200028|2012-04-20T20:50:55.013+0000|85.159.30.82|Chrome|About Gloria Macapagal-Arroyo,  in Quezon City undeAbout Maimonides, be the |76
893353200029|2012-04-21T00:37:11.046+0000|85.159.30.82|Chrome|About Portrait of an American Family, ine Inch Nails.About Stained Class, e streamlined|87
893353200030|2012-04-21T02:55:41.691+0000|49.213.50.238|Firefox|About Ludwig Wittgenstein, l porter in London, where heAbout Sarah McLachlan,  of |82
962072676768|2012-05-13T01:59:52.403+0000|1.4.40.92|Chrome|duh|3
962072676769|2012-05-13T01:34:52.384+0000|1.4.40.92|Chrome|yes|3
893353200035|2012-04-28T10:14:50.598+0000|49.213.50.238|Firefox|thanks|6
893353200036|2012-04-28T12:46:27.491+0000|91.223.132.248|Internet Explorer|I see|5
893353200037|2012-04-28T14:02:37.906+0000|1.4.40.92|Chrome|yes|3
893353200038|2012-04-28T17:35:54.045+0000|91.223.132.248|Internet Explorer|yes|3
893353200039|2012-04-28T15:08:39.074+0000|85.159.30.82|Chrome|roflol|6
893353200040|2012-04-28T10:41:06.725+0000|1.4.40.92|Chrome|About Enrique Iglesias, aking him one of the besAbout A Quick One, raphs touting the band, Abou|95
893353200041|2012-04-28T12:09:52.972+0000|91.223.132.248|Chrome|About Queen Victoria, irect political powers. PrAbout Coming Out of the Dark,|77
893353200042|2012-04-28T12:20:04.699+0000|85.159.30.82|Chrome|cool|4
893353200043|2012-04-28T15:59:34.049+0000|31.192.109.124|Internet Explorer|fine|4
893353200044|2012-04-28T15:56:27.388+0000|91.223.132.248|Internet Explorer|About Enrique Iglesias, ge albums of thatAbout Window Shopper, nt. It was the seAbo|83
893353200045|2012-04-28T13:06:53.047+0000|49.213.50.238|Firefox|ok|2
687194770314|2011-10-17T05:28:46.761+0000|1.83.28.23|Chrome|About Muammar Gaddafi, z at-Talhi MuAbout Michael Caine, ; 14 March 19About Kanye We|84
687194770315|2011-10-17T07:00:03.129+0000|1.83.28.23|Chrome|right|5
687194770316|2011-10-16T15:44:43.640+0000|31.170.121.115|Internet Explorer|About Muammar Gaddafi,  In office1About Michael Caine, an English About Li|74
687194770317|2011-10-17T10:01:41.809+0000|1.83.28.23|Chrome|yes|3
687194770318|2011-10-16T08:50:35.515+0000|1.83.28.23|Chrome|I see|5
412316863376|2011-02-15T21:14:42.916+0000|1.83.28.23|Chrome|no way!|7
412316863377|2011-02-16T14:18:09.265+0000|1.83.28.23|Chrome|About Lewis Carroll, ains materials thAbout Robert Fripp, ith Brian Eno, soAbout Wil|84
412316863378|2011-02-16T01:35:02.141+0000|1.83.28.23|Chrome|About Orange Free State, e the Republic of South AfriAbout Ethiopian Empire, frican|83
412316863379|2011-02-16T20:56:51.261+0000|1.83.28.23|Chrome|thx|3
412316863380|2011-02-16T14:19:26.923+0000|1.83.28.23|Chrome|About Ariel Sharon,  of the country'About Equatorial Guinea, Its gross domest|77
412316863381|2011-02-16T14:30:38.231+0000|1.83.28.23|Chrome|maybe|5
412316863382|2011-02-17T04:46:04.018+0000|1.83.28.23|Chrome|About Ban Ki-moon,  members of About Anne, Queen of Great Britain, hem from offA|80
412316863383|2011-02-16T22:28:23.959+0000|1.83.28.23|Chrome|yes|3
687194770329|2011-10-01T18:25:52.219+0000|1.2.2.77|Firefox|cool|4
687194770330|2011-10-01T17:58:24.859+0000|49.12.225.25|Chrome|About Ralph Klein, fourteen years after Klein fAbout John Quincy Adams, the Slave|81
687194770331|2011-10-02T03:40:46.092+0000|1.83.28.23|Chrome|duh|3
687194770332|2011-10-02T07:55:36.793+0000|1.2.2.77|Firefox|yes|3
962072677495|2012-05-22T23:15:18.854+0000|61.247.235.24|Firefox|cool|4
962072677496|2012-05-22T09:23:57.325+0000|196.29.42.107|Firefox|right|5
962072677497|2012-05-22T19:20:34.996+0000|27.116.34.47|Chrome|no|2
962072677498|2012-05-22T09:40:11.328+0000|27.116.34.47|Chrome|About Rumi, h, his followers and his son Sultan Walad fAbout My Love Is Like...Wo, is|85
962072677499|2012-05-22T17:12:15.219+0000|66.231.75.1|Internet Explorer|no way!|7
962072677500|2012-05-22T15:01:08.540+0000|103.246.108.166|Chrome|About Northern Ireland, eland is a part of the United Kingdom in the north-east of the island of Ireland. It shar|113
962072677501|2012-05-22T13:46:29.677+0000|196.29.42.107|Firefox|About Rumi, ar Rumi was born, his father About Salvador Dalí, nusual and grandiose b|84
962072677502|2012-05-23T03:02:14.872+0000|31.170.121.115|Internet Explorer|right|5
962072677503|2012-05-23T02:29:00.679+0000|195.20.153.136|Chrome|cool|4
962072677504|2012-05-22T16:35:44.128+0000|27.4.90.237|Internet Explorer|roflol|6
962072677505|2012-05-22T18:10:40.523+0000|27.116.33.147|Safari|ok|2
962072677506|2012-05-23T12:52:59.538+0000|49.12.225.25|Chrome|LOL|3
962072677507|2012-05-22T11:56:03.553+0000|24.52.185.3|Internet Explorer|great|5
962072677508|2012-05-22T09:50:26.933+0000|27.116.34.47|Chrome|About Ray Bradbury,  writer. Best known for his dystopian novel Fahrenheit 451|78
755914247302|2011-11-27T20:34:00.283+0000|27.116.33.147|Safari|ok|2
755914247303|2011-11-27T18:14:50.309+0000|27.4.90.237|Internet Explorer|good|4
755914247304|2011-11-27T00:34:43.058+0000|27.116.34.47|Chrome|About Rumi, as where he lived most of his life, and here hAbout Montserrat, and and for th|90
755914247305|2011-11-27T15:14:17.400+0000|27.116.34.47|Chrome|right|5
755914247306|2011-11-27T10:54:00.529+0000|61.247.235.24|Firefox|thx|3
755914247307|2011-11-27T17:15:51.857+0000|27.116.33.147|Safari|About Henry VIII of England, tion. In later life he became morbidly obese and hi|80
755914247308|2011-11-27T00:12:29.909+0000|27.116.33.147|Safari|LOL|3
755914247309|2011-11-27T21:06:55.847+0000|27.4.90.237|Internet Explorer|About Billie Holiday, a HarrisAlso known as Lady DayBorn (1915-04-07)April 7, 1915Philadelphia, Pennsylvania, United StatesOrigin Harlem, New York, United StatesDied July|170
824633724047|2012-02-21T03:35:21.238+0000|49.12.225.25|Chrome|no way!|7
824633724048|2012-02-21T10:50:55.441+0000|49.12.225.25|Chrome|About Alexander I of Russia, nder was thAbout Kate Bush, ver, which About In Your Hon|85
824633724049|2012-02-21T23:58:37.223+0000|196.29.42.107|Firefox|About David Lloyd George, d of a wartAbout In Your Honor, Your Honor About|74
824633724050|2012-02-21T20:14:54.702+0000|27.116.33.147|Safari|great|5
824633724051|2012-02-21T10:56:20.651+0000|27.116.34.47|Chrome|ok|2
824633724052|2012-02-21T00:38:43.091+0000|61.247.235.24|Firefox|About Paradorn Srichaphan, ngles playAbout Alfred, Lord Tennyson, eer, TennyAbout Hil|85
824633724053|2012-02-21T04:12:50.258+0000|27.116.34.47|Chrome|right|5
824633724054|2012-02-21T01:06:08.230+0000|61.247.235.24|Firefox|duh|3
824633724055|2012-02-21T18:34:04.601+0000|61.247.235.24|Firefox|About Alexander I of Russia, d some suAbout Francisco Franco, emies in About Rid|80
824633724056|2012-02-22T06:03:22.365+0000|27.4.90.237|Internet Explorer|About Sean Connery, ober, HighlaAbout Kate Bush, ll, King of About Madagascar, ous |83
824633724057|2012-02-21T18:34:27.713+0000|27.4.90.237|Internet Explorer|thx|3
824633724058|2012-02-21T06:39:33.318+0000|61.247.235.24|Firefox|cool|4
824633724059|2012-02-22T06:19:31.726+0000|49.12.225.25|Chrome|ok|2
824633724060|2012-02-21T07:47:44.270+0000|27.116.33.147|Safari|thx|3
824633724061|2012-02-22T04:21:40.852+0000|27.116.34.47|Chrome|LOL|3
824633724063|2012-02-21T11:54:21.673+0000|61.247.235.24|Firefox|ok|2
824633724064|2012-02-21T11:45:35.621+0000|31.170.121.115|Internet Explorer|fine|4
